Date,Price,Open,High,Low,Change %
12-01-2022,630.59,617.2,635.98,614.36,3.77%
11-01-2022,607.7,566.54,622.96,558.87,7.27%
10-01-2022,566.54,577.52,600.35,559.81,-1.87%
09-01-2022,577.35,594.68,602.97,560.19,-3.14%
08-01-2022,596.06,614.57,630.01,594.16,-3.12%
07-01-2022,615.26,623.79,626.04,585.77,-1.41%
06-01-2022,624.07,635.39,649.59,622.51,-2.22%
05-01-2022,638.26,655.56,659.67,618.85,-3.31%
04-01-2022,660.12,669.85,691.54,646.51,-2.16%
03-01-2022,674.72,658.77,717.65,653.87,2.80%
02-01-2022,656.32,620.3,682.32,617.65,5.81%
01-01-2022,620.3,631.7,640.75,614.88,-1.76%
12-01-2021,631.42,612.88,631.56,608.53,2.93%
11-01-2021,613.43,615.44,649.83,607.49,-0.41%
10-01-2021,615.99,606.35,626.9,602.87,1.53%
09-01-2021,606.7,627.35,634.25,594.34,-3.36%
08-01-2021,627.8,627.42,633.94,585.12,0.05%
07-01-2021,627.49,611.02,634.77,609.84,2.57%
06-01-2021,611.74,659.77,662.67,604.45,-7.02%
05-01-2021,657.91,610.19,661.43,610.08,7.78%
04-01-2021,610.39,589.99,620.89,589.23,3.04%
03-01-2021,592.4,600.14,606.7,578.23,-0.76%
02-01-2021,596.96,641.44,647.38,592.2,-6.57%
01-01-2021,638.92,661.88,677.59,628.12,-2.36%
12-01-2020,654.39,615.19,660.12,614.54,6.41%
11-01-2020,614.95,648.1,679.9,610.43,-5.27%
10-01-2020,649.14,653.83,669.65,642.09,-0.82%
09-01-2020,654.52,681.11,690.78,639.5,-4.20%
08-01-2020,683.22,690.92,719.99,648.14,-0.37%
07-01-2020,685.74,621.03,691.44,609.94,10.30%
06-01-2020,621.72,605.8,622.93,577.28,2.79%
05-01-2020,604.87,585.67,617.13,578.83,3.39%
04-01-2020,585.01,547.82,617.65,546.03,6.11%
03-01-2020,551.31,547.2,588.69,501.73,1.91%
02-01-2020,540.99,550.38,584.05,535.64,-1.34%
01-01-2020,548.31,525.21,557.35,524.86,4.25%
12-01-2019,525.93,506.91,527.73,504.07,3.42%
11-01-2019,508.53,523.1,524.21,501.29,-2.78%
10-01-2019,523.07,510.7,526.76,505.87,2.84%
09-01-2019,508.6,530.08,539.99,507.8,-3.69%
08-01-2019,528.11,492.64,538.57,487.67,6.37%
07-01-2019,496.48,483.08,503.97,478.21,1.70%
06-01-2019,488.16,453.45,498.03,453.04,7.83%
05-01-2019,452.73,443.58,452.94,437.6,1.98%
04-01-2019,443.96,447.82,453.97,437.85,-0.99%
03-01-2019,448.38,454.21,459.01,442.71,-1.34%
02-01-2019,454.45,457.77,466.06,450.69,-0.69%
01-01-2019,457.6,443.16,459.63,441.37,3.43%
12-01-2018,442.44,423.86,444.23,423.55,4.51%
11-01-2018,423.34,420.1,427.94,415.19,0.91%
10-01-2018,419.54,413.05,430.21,409.77,1.57%
09-01-2018,413.05,416.75,420.58,409.01,-0.87%
08-01-2018,416.68,425.59,426,403.04,-2.18%
07-01-2018,425.97,433.15,438.22,421.69,-1.67%
06-01-2018,433.18,450.52,453.38,430.77,-3.85%
05-01-2018,450.52,455.52,460.08,444.34,-1.10%
04-01-2018,455.52,459.36,472.72,452.66,-0.61%
03-01-2018,458.32,455.21,470.44,450.14,0.71%
02-01-2018,455.08,465.68,471.13,452.07,-1.88%
01-01-2018,463.78,451.93,473.24,451.07,2.58%
12-01-2017,452.11,441.26,452.28,427.59,2.55%
11-01-2017,440.85,438.74,450.07,437.12,0.49%
10-01-2017,438.71,442.13,451.8,436.08,-1.11%
09-01-2017,443.65,458.22,470.44,442.16,-2.83%
08-01-2017,456.56,439.71,459.81,434.12,3.83%
07-01-2017,439.71,428.73,440.85,416.24,2.50%
06-01-2017,428.97,439.02,448.41,427.28,-2.60%
05-01-2017,440.4,439.09,440.75,420.05,0.56%
04-01-2017,437.95,431.77,447.86,430.14,1.37%
03-01-2017,432.04,430.35,436.5,413.44,-0.22%
02-01-2017,432.98,418.92,436.71,414.3,3.51%
01-01-2017,418.3,397.34,422,395.96,5.18%
12-01-2016,397.69,405.01,408.18,388.33,-1.89%
11-01-2016,405.35,440.95,462.62,404.8,-7.79%
10-01-2016,439.61,455.25,456.7,429.35,-3.34%
09-01-2016,454.8,453.28,468.72,450.86,0.43%
08-01-2016,452.83,468.27,474.48,451.55,-3.40%
07-01-2016,468.75,457.46,475.62,455.28,2.79%
06-01-2016,456.01,421.03,470.51,417.23,8.47%
05-01-2016,420.41,447.55,450.93,418.02,-5.66%
04-01-2016,445.61,425.9,448.45,417.99,4.44%
03-01-2016,426.66,428.38,443.68,417.82,0.10%
02-01-2016,426.24,386.26,436.19,385.95,10.57%
01-01-2016,385.5,367.33,388.29,366.54,5.30%
12-01-2015,366.09,367.85,375.76,360.98,-0.48%
11-01-2015,367.85,393.61,394.54,363.12,-6.67%
10-01-2015,394.13,385.08,411.36,381.18,2.35%
09-01-2015,385.08,393.3,399.27,379.04,-1.53%
08-01-2015,391.06,377.21,403.8,373.55,3.42%
07-01-2015,378.14,405.32,405.52,371.93,-6.55%
06-01-2015,404.63,411.19,416.23,401.31,-1.51%
05-01-2015,410.84,408.29,425.69,403.83,0.63%
04-01-2015,408.29,408.56,422.76,405.49,-0.07%
03-01-2015,408.56,421.86,422.31,394.61,-2.46%
02-01-2015,418.89,441.82,443.92,411.08,-5.17%
01-01-2015,441.71,409.19,451.55,403.28,8.03%
